pose_traces,x,y,z
pose6,10,-1.204242,0.997913
pose6,10,-1.151544,0.940910
pose6,10,-1.097984,0.883104
pose6,10,-1.044787,0.826687
pose6,10,-0.991693,0.770417
pose6,10,-0.937826,0.713408
pose6,10,-0.884154,0.656618
pose6,10,-0.831639,0.601002
pose6,10,-0.778303,0.544576
pose6,10,-0.724132,0.489275
pose6,10,-0.670988,0.433062
pose6,10,-0.608823,0.333805
pose6,10,-0.545577,0.234400
pose6,10,-0.483338,0.134911
pose6,10,-0.419993,0.036228
pose6,10,-0.356579,-0.063599
pose6,10,-0.293078,-0.163611
pose6,10,-0.229518,-0.263830
pose6,10,-0.166780,-0.364288
pose6,10,-0.102920,-0.465000
pose6,10,-0.038883,-0.565967
pose7,10,0.000000,0.000000
pose7,10,-0.290227,0.011026
pose7,10,-0.580108,0.021062
pose7,10,-0.871443,0.032122
pose7,10,-1.164924,0.043218
pose7,10,-1.459422,0.054364
pose7,10,-1.756603,0.064559
pose7,10,-2.056436,0.075842
pose7,10,-2.360593,0.087216
pose7,10,-2.669171,0.097666
pose7,10,-2.981796,0.109265
pose7,10,-3.300427,0.121003
pose7,10,-3.624997,0.132899
pose7,10,-3.956975,0.143905
pose7,10,-4.319826,0.176750
pose7,10,-4.692486,0.209827
pose7,10,-5.074177,0.242026
pose7,10,-5.466784,0.275604
pose7,10,-5.871868,0.309492
pose7,10,-6.289255,0.343713
pose7,10,-6.721825,0.377107
pose7,10,-7.170310,0.412087
pose7,10,-7.637778,0.447542
pose7,10,-7.207747,0.524699
pose7,10,-6.791152,0.599462
pose7,10,-6.390004,0.671103
pose7,10,-6.001076,0.738764
pose7,10,-5.623679,0.805176
pose7,10,-5.257588,0.868352
pose7,10,-4.900415,0.930855
pose7,10,-4.552141,0.990710
pose7,10,-4.211701,1.050376
pose7,10,-3.878113,1.107897
pose7,10,-3.551928,1.164702
pose7,10,-3.232166,1.221015
pose7,10,-2.917264,1.276785
pose7,10,-2.606397,1.332591
pose7,10,-2.301255,1.388362
pose7,10,-1.999063,1.444268
pose7,10,-1.700396,1.500641
