synthesizer,camera_position,scene,pose_traces,QP,numGroup,psnr_mean,ssim_mean,vmaf_mean,TMIV_encoding_time,TMIV_decoding_time,x265_encoding_time,x265_decoding_time,bitrate,numGroup
AdditiveSynthesizer,9x4,ArchVizInterior,pose6,36,4,47.09998353,0.955808467,63.37202852,613.279,2229.562,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose7,36,4,44.29460692,0.862803756,55.8165761,613.279,1994.229,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose8,36,4,44.72350173,0.908575378,25.97614964,613.279,1415.851,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose9,36,4,46.80151913,0.943899678,56.70722437,613.279,2041.186,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose0,36,4,45.28020273,0.917713489,44.94797004,613.279,2750.159,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose1,36,4,44.28289097,0.835332967,41.44675021,613.279,3221.248,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose2,36,4,43.15338174,0.7908519,46.21092996,613.279,2981.816,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose3,36,4,45.7534589,0.943975222,47.53091019,613.279,2790.685,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose4,36,4,45.44778714,0.902435011,45.06294484,613.279,2995.04,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose5,36,4,45.68617608,0.942415911,59.62139497,613.279,3047.23,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose6,36,4,46.63106817,0.949286911,56.13631651,613.279,3166.281,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose7,36,4,44.01919799,0.856285933,51.31092874,613.279,3023.682,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose8,36,4,44.54434037,0.905171822,23.31213157,613.279,2459.967,5.068071604,3.310019732,3333816,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose9,36,4,46.50674019,0.935929278,49.80955749,613.279,3101.09,5.068071604,3.310019732,3333816,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose0,44,4,44.71245492,0.903167478,39.66661668,628.2,1657.876,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose1,44,4,43.41041737,0.816464233,39.80965368,628.2,2001.131,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose2,44,4,42.50431766,0.774157256,44.07213666,628.2,1796.136,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose3,44,4,44.5768758,0.926869844,43.84607789,628.2,1798.101,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose4,44,4,44.35850694,0.886377644,42.12384403,628.2,1894.055,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose5,44,4,44.73992756,0.9262298,54.49327249,628.2,1770.809,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose6,44,4,45.58539568,0.935360011,51.51505568,628.2,2234.912,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose7,44,4,43.4703709,0.843050422,47.84417046,628.2,2061.465,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose8,44,4,44.21134691,0.893201411,20.74787403,628.2,1450.92,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose9,44,4,45.19561122,0.924089244,46.81507033,628.2,2019.363,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose0,44,4,44.49571818,0.895934933,37.21130644,628.2,2778.197,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose1,44,4,43.16131044,0.804916422,34.5165564,628.2,3150.543,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose2,44,4,42.17892437,0.763136189,39.74528237,628.2,3038.539,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose3,44,4,44.45931266,0.917348033,38.15503661,628.2,2775.192,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose4,44,4,44.04291441,0.878156422,36.83480431,628.2,2937.679,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose5,44,4,44.42677063,0.916655278,50.01739291,628.2,3128.035,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose6,44,4,45.1738318,0.925538233,44.58163259,628.2,3261.456,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose7,44,4,43.1827452,0.834546,43.81403803,628.2,3057.382,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose8,44,4,43.99857553,0.887973322,18.60648582,628.2,2560.782,12.36847854,3.505165577,1768192,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose9,44,4,44.97541132,0.914359756,40.61247539,628.2,3324.638,12.36847854,3.505165577,1768192,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose0,48,4,43.61816857,0.880646956,31.87168974,634.285,1618.628,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose1,48,4,42.18876926,0.783962067,33.08500129,634.285,2024.277,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose2,48,4,41.52515392,0.745749689,37.88546148,634.285,1809.795,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose3,48,4,44.40133546,0.897926044,33.14161164,634.285,1782.896,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose4,48,4,42.21126766,0.864423533,34.21888534,634.285,1927.386,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose5,48,4,43.60350954,0.902765078,45.4083579,634.285,1736.946,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose6,48,4,44.14346203,0.912714778,40.61600109,634.285,2220.072,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose7,48,4,42.30432672,0.822912044,40.78705064,634.285,2060.237,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose8,48,4,42.7939495,0.878933367,16.38462583,634.285,1430.115,4.229322433,2.975800276,1337888,4
AdditiveSynthesizer,9x4,ArchVizInterior,pose9,48,4,44.20549331,0.9051437,37.55392111,634.285,2048.386,4.229322433,2.975800276,1337888,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose0,48,4,43.40577756,0.8708964,29.7227266,634.285,2799.271,4.229322433,2.975800276,1337888,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose1,48,4,41.96037339,0.771982144,28.47383631,634.285,3256.666,4.229322433,2.975800276,1337888,4
ViewWeightingSynthesizer,9x4,ArchVizInterior,pose2,48,4,41.26580572,0.7341303,34.3200204,634.285,2985.835,4.229322433,2.975800276,1337888,4
